ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
1335,Two Step Swarm Intelligence to Solve the Feature Selection Problem,"Feature Selection Problem,Swarm Intelligence,Ant Colony Optimization,Particle Swarm Optimization,Rough Set Theory,Two-Step Swarm Intelligence",['I'],step swarm intelligence,feature selection problem,step swarm intelligence feature selection problem
1336,Parallel Strategies for Stochastic Evolution,"parallel metaheuristics,combinatorial optimization,stochastic evolution,simulated evolution,VLSI cell placement,cluster computing",['F' 'I'],parallel strategies,vlsi cell placement,parallel strategies vlsi cell placement
1338,Learner Course Recommendation in e-Learning Based on Swarm Intelligence,"recommendation,E-learning,multi-agent system,emergence,Swarm Intelligence",['E' 'H' 'I' 'J'],e-learning based,multi-agent system,e-learning based multi-agent system
1339,Intelligent Decision Support in Medicine: back to Bayes?,"Bayes' Theorem,Decision Support Systems (DSS),diagnostic error,individuating information,base rates,e-health intervention",['H' 'I'],intelligent decision support,decision support systems,intelligent decision support decision support systems
1340,The State of HCI in Ibero-American Countries,human-computer interaction,['A' 'H'],ibero-american countries,human-computer interaction,ibero-american countries human-computer interaction
1341,Cognitive Ergonomics in Interface Development Evaluation,"cognitive ergonomics,interface evaluation",['H'],interface development evaluation,cognitive ergonomics,interface development evaluation cognitive ergonomics
1342,Cultural Factors in a Mobile Phone Adoption and Usage Model,"mobile phone usage,mediating factors,determining factors,usage intensity,usage variety and usage breath,sociology,computer-supported cooperative work,human-computer interaction,human-computer interaction marketing",['H' 'J'],mobile phone adoption,computer-supported cooperative work,mobile phone adoption computer-supported cooperative work
1343,Designing Collaborative User Interfaces for Ubiquitous Applications Using CIAM: The AULA Case Study,"CSCW,human - computer interaction,user interfaces,ubiquitous computing,mobile computing",['H' 'K'],designing collaborative user interfaces,computer interaction,designing collaborative user interfaces computer interaction
1344,Supporting the Development of Accessible Web Applications,"Web accessibility,Web engineering,Web applications,development process,development supporting tools",['H'],accessible web applications,development supporting tools,accessible web applications development supporting tools
1345,Cognitive Ergonomics in Interface Design - Discussion of a Moving Science,"cognitive ergonomics,user interface design",['H' 'K'],cognitive ergonomics,user interface design,cognitive ergonomics user interface design
1347,Improving AEH Courses through Log Analysis,"authoring support,adaptive educational hypermedia,data mining applications",['I' 'J' 'K'],improving aeh courses,adaptive educational hypermedia,improving aeh courses adaptive educational hypermedia
1348,"A Spiral Model for Adding Automatic, Adaptive Authoring to Adaptive Hypermedia","authoring,Adaptive Educational Hypermedia,CAF,evaluation,metadata,RDF,semantic desktop,semi-automatic adding",['M'],spiral model,adaptive educational hypermedia,spiral model adaptive educational hypermedia
1349,ITS Domain Modelling with Ontology,"intelligent tutoring systems,authoring systems,constraint-based modeling,domain models,ontology",['L'],domain modelling,intelligent tutoring systems,domain modelling intelligent tutoring systems
1350,Authoring Courses with Rich Adaptive Sequencing for IMS Learning Design,"sequencing graph,IMS Learning Design,translation,sequencing",['L'],rich adaptive sequencing,ims learning design,rich adaptive sequencing ims learning design
1351,Authoring Social-aware Tasks on Active Spaces,"Hypermedia Authoring,Collaboration,Ambient Intelligence,Active Spaces,Task Scheduling,Social-aware computing",['H' 'K'],authoring social-aware tasks,hypermedia authoring,authoring social-aware tasks hypermedia authoring
1352,A Standards-based Modelling Approach for Dynamic Generation of Adaptive Learning Scenarios,"metadata and learning,learning objects,learning activities,learning design,Semantic Web,pedagogy guidelines,educational standards,design templates,adaptive eLearning,user modelling",['H' 'J'],standards-based modelling approach,semantic web,standards-based modelling approach semantic web
1353,Authoring Culture in Online Education,"hypermedia systems,adaptive hypermedia,adaptive educational hypermedia,culture,cultural education,CAE",['H'],authoring culture,adaptive educational hypermedia,authoring culture adaptive educational hypermedia
1354,Creating Adaptive e-Learning Board Games for School Settings Using the ELG Environment,"adaptive environments,authoring tools,e-learning,game based learning",['L'],creating adaptive e-learning board games,game based learning,creating adaptive e-learning board games game based learning
1356,A Generic Architecture for the Conversion of Document Collections into Semantically Annotated Digital Archives,"software architectures,document image analysis and understanding,digital libraries,document mining",['H' 'J' 'M'],semantically annotated digital archives,document image analysis,semantically annotated digital archives document image analysis
1357,Systematic Characterisation of Objects in Digital Preservation: The eXtensible Characterisation Languages,"digital libraries,digital preservation,preservation planning,content characterisation,migration,XML languages,evaluation,file formats,file conversion",['H' 'I'],extensible characterisation languages,digital libraries,extensible characterisation languages digital libraries
1358,"Crime Scene Representation (2D, 3D, Stereoscopic Projection) and Classification","classification,neural networks,SVM,features,crime scenes",['I'],crime scene representation,neural networks,crime scene representation neural networks
1359,Using Conjunctions and Adverbs for Author Verification,"author verification,pattern recognition",['H'],author verification,author verification,author verification author verification
1360,"A Language-Independent, Open-Vocabulary System Based on HMMs for Recognition of Ultra Low Resolution Words","ultra low resolution text recognition,web document analysis,HMMs,web image indexation and retrieval",['H'],ultra low resolution words,ultra low resolution text recognition,ultra low resolution words ultra low resolution text recognition
